City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Torbay,75,CA,1563652785,71,47.66,-52.73,60.01,17.22
West Bay,20,CA,1563652785,68,49.34,-123.21,75.99,8.05
Key Largo,75,US,1563652767,70,25.09,-80.45,89.01,10.29
Rosarito,40,CO,1563652785,53,4.91,-75.23,86.0,5.82
Victoria,75,BN,1563652785,88,5.28,115.24,82.4,8.57
Amapa,75,HN,1563652785,62,15.09,-87.97,87.8,10.29
Lebu,40,ET,1563652785,87,8.96,38.73,57.2,4.7
Rocha,61,UY,1563652646,88,-34.48,-54.34,64.24,10.02
Nikolskoye,0,RU,1563652472,77,59.7,30.79,64.4,4.47
Thinadhoo,98,MV,1563652786,76,0.53,72.93,83.14,12.71
Los Andes,40,CL,1563652786,51,-32.83,-70.6,66.99,1.12
Naze,71,NG,1563652646,94,5.43,7.07,72.88,3.85
Mirpur Sakro,0,PK,1563652786,62,24.55,67.63,87.8,9.17
Sobolevo,0,RU,1563652786,75,54.43,31.9,54.52,5.82
Avera,40,US,1563652786,55,33.19,-82.53,95.0,10.29
Camopi,0,GF,1563652787,83,3.17,-52.33,79.72,2.37
Petropavlovsk-Kamchatskiy,40,RU,1563652690,77,53.05,158.65,64.4,11.18
Murgab,0,TM,1563652787,33,37.5,61.97,91.4,4.7
Hami,100,CN,1563652787,39,42.84,93.51,77.38,5.64
Castro,90,CL,1563652787,93,-42.48,-73.76,42.8,8.05
Avarua,7,CK,1563652576,64,-21.21,-159.78,73.4,6.93
Great Falls,1,US,1563652514,28,47.5,-111.29,70.0,5.82
Amboasary,0,MG,1563652787,88,-25.04,46.38,66.2,4.7
Prince Rupert,1,CA,1563652788,77,54.32,-130.32,62.6,5.82
Takoradi,65,GH,1563652788,92,4.89,-1.75,74.32,4.61
Jamestown,2,AU,1563652476,97,-33.21,138.6,44.98,7.0
Kruisfontein,36,ZA,1563652579,84,-34.0,24.73,42.82,4.74
Talnakh,0,RU,1563652253,62,69.49,88.39,57.2,11.18
Mangaldai,11,IN,1563652788,92,26.43,92.03,79.18,4.43
Eyl,100,SO,1563652571,65,7.98,49.82,77.56,25.86
Hithadhoo,91,MV,1563652518,78,-0.6,73.08,82.78,13.76
Leningradskiy,100,RU,1563652789,88,69.38,178.42,36.52,10.13
Ancud,90,CL,1563652789,93,-41.87,-73.83,42.8,8.05
Camacha,75,PT,1563652789,73,33.08,-16.33,73.4,12.75
Qaanaaq,97,GL,1563652789,81,77.48,-69.36,41.92,2.51
Chuy,4,UY,1563652789,91,-33.69,-53.46,61.0,6.62
Kampot,40,KH,1563652789,94,10.62,104.18,78.8,1.12
Biloela,0,AU,1563652790,87,-24.4,150.51,49.84,5.82
Dombarovskiy,0,RU,1563652790,61,50.76,59.54,73.06,22.57
Wajima,100,JP,1563652790,84,37.4,136.9,76.12,6.04
Tagusao,100,PH,1563652790,77,9.19,117.81,80.08,4.03
Te Anau,100,NZ,1563652472,94,-45.41,167.72,44.26,5.03
Cartagena del Chaira,100,CO,1563652790,98,1.33,-74.84,70.18,0.38
Puerto Ayacucho,40,CO,1563652791,70,5.66,-67.63,84.2,4.7
Edd,57,ER,1563652791,61,13.93,41.69,87.46,3.65
Mattru,99,SL,1563652791,95,7.62,-11.83,74.32,1.12
Itarema,80,BR,1563652791,78,-2.92,-39.92,76.66,10.02
Katangli,100,RU,1563652791,95,51.71,143.23,63.7,8.23
Namuac,100,PH,1563652791,86,18.61,121.17,73.78,3.2
Padang,100,ID,1563652792,77,-0.92,100.36,81.16,4.05
Katsuura,75,JP,1563652792,83,33.93,134.5,80.6,25.28
Billings,20,US,1563652792,22,45.79,-108.5,78.01,8.05
San Luis,100,AR,1563652564,62,-33.3,-66.34,64.78,19.26
Mount Gambier,75,AU,1563652629,87,-37.83,140.78,50.0,14.99
Dikson,67,RU,1563652792,99,73.51,80.55,44.62,17.52
Juybar,0,IR,1563652792,78,36.64,52.91,78.8,2.24
Honiara,98,SB,1563652793,81,-9.43,159.96,79.9,12.57
Alofi,20,NU,1563652793,94,-19.06,-169.92,75.2,5.82
Hualmay,41,PE,1563652248,83,-11.1,-77.61,62.26,9.31
Waingapu,44,ID,1563652793,94,-9.65,120.26,67.12,10.2
Tucumcari,1,US,1563652793,16,35.17,-103.73,102.2,8.05
Millinocket,1,US,1563652793,36,45.66,-68.71,99.0,6.93
Carnarvon,27,ZA,1563652793,61,-30.97,22.13,36.16,12.73
Kungurtug,85,RU,1563652794,88,50.6,97.53,45.52,1.9
Atasu,9,KZ,1563652794,63,48.68,71.64,66.94,6.46
Ucluelet,20,CA,1563652794,82,48.94,-125.55,75.99,5.82
Caravelas,37,BR,1563652794,76,-17.73,-39.27,71.62,13.58
Dunedin,91,NZ,1563652794,99,-45.87,170.5,48.99,12.82
Tuatapere,100,NZ,1563652795,98,-46.13,167.69,46.0,8.01
Cabo San Lucas,5,MX,1563652629,58,22.89,-109.91,89.01,11.41
Ben Tre,100,VN,1563652795,92,10.24,106.37,77.02,2.98
Gizo,20,IL,1563652795,69,31.8,34.94,80.6,6.93
Lorengau,89,PG,1563652795,80,-2.02,147.27,80.44,8.95
Lixourion,0,GR,1563652795,54,38.2,20.43,80.6,13.87
Banepa,75,NP,1563652795,94,27.63,85.52,71.6,2.24
Bonfim,75,BR,1563652796,46,-20.33,-44.24,69.8,11.41
Khatanga,0,RU,1563652473,58,71.98,102.47,65.68,9.42
Yuzhno-Kurilsk,98,RU,1563652796,94,44.03,145.86,57.94,4.38
Lompoc,20,US,1563652192,60,34.64,-120.46,73.4,7.65
Saint-Augustin,75,CA,1563652796,62,45.63,-73.98,93.99,9.17
Mao,40,DO,1563652796,49,19.55,-71.08,93.2,17.22
Pokosnoye,73,RU,1563652796,97,55.53,101.05,52.9,4.34
Fairbanks,90,US,1563652519,77,64.84,-147.72,62.6,11.92
Gigmoto,98,PH,1563652797,77,13.78,124.39,82.96,4.79
Alta Floresta,20,BR,1563652249,30,-9.87,-56.08,93.2,6.93
Ranapur,0,IN,1563652797,82,22.65,74.53,79.54,13.71
Polewali,0,ID,1563652797,79,-4.03,119.8,79.0,19.82
The Pas,40,CA,1563652797,59,53.82,-101.24,64.4,5.82
Owosso,40,US,1563652646,49,43.0,-84.18,96.01,17.22
Belmonte,0,PT,1563652702,81,40.36,-7.35,61.18,4.18
Yerbogachen,4,RU,1563652563,66,61.28,108.01,50.02,9.15
Altay,7,CN,1563652798,74,47.83,88.13,47.68,3.56
Vestmanna,100,FO,1563652798,93,62.16,-7.17,53.6,8.05
Coquimbo,0,CL,1563652798,72,-29.95,-71.34,59.0,14.99
Gejiu,100,CN,1563652798,93,23.36,103.16,63.7,3.2
Kharp,28,RU,1563652798,89,66.82,65.8,52.9,2.44
Lima,90,PE,1563652798,77,-12.06,-77.04,64.4,8.46
Port Hardy,75,CA,1563652590,87,50.7,-127.42,57.2,6.93
Naantali,0,FI,1563652799,49,60.45,22.03,68.0,3.36
Gazli,0,UZ,1563652799,17,40.13,63.45,91.06,8.48
Dingle,36,PH,1563652799,89,11.0,122.67,74.5,2.1
Nagato,75,JP,1563652799,100,34.35,131.14,77.0,16.11
Walvis Bay,0,NA,1563652253,37,-22.95,14.51,71.6,4.7
Salalah,75,OM,1563652475,94,17.01,54.1,78.8,4.7
Pszczyna,0,PL,1563652799,60,49.98,18.94,73.99,3.36
Narsaq,40,GL,1563652800,59,60.91,-46.05,60.8,8.05
Salcedo,40,DO,1563652800,49,19.38,-70.42,93.2,17.22
San Matias,88,BO,1563652800,26,-16.36,-58.4,92.14,6.15
Cooma,0,AU,1563652800,74,-36.24,149.13,37.4,3.36
Hambantota,100,LK,1563652476,78,6.12,81.12,81.52,22.73
Skegness,20,GB,1563652800,55,53.14,0.34,66.2,13.87
Esperance,75,AU,1563652801,87,-33.86,121.89,51.8,17.22
Shiraz,20,IR,1563652801,22,29.61,52.54,87.8,4.7
Luderitz,0,NA,1563652801,72,-26.65,15.16,57.22,11.92
Ibb,20,YE,1563652802,66,13.97,44.18,75.04,3.13
Grand Gaube,40,MU,1563652803,83,-20.01,57.66,71.6,6.93
Kieta,1,PG,1563652803,80,-6.22,155.63,79.72,5.61
Prince George,90,CA,1563652803,63,53.92,-122.75,66.99,5.82
Rio Gallegos,0,AR,1563652803,45,-51.62,-69.22,44.6,11.41
Nouakchott,0,MR,1563652806,74,18.08,-15.98,80.6,10.29
Pisco,0,PE,1563652812,30,-13.71,-76.2,71.6,8.05
Samaro,0,PK,1563652813,48,25.28,69.4,90.34,12.19
Superior,40,US,1563652815,42,39.95,-105.17,89.01,9.17
Kahului,40,US,1563652816,65,20.89,-156.47,82.4,13.87
Aketi,100,CD,1563652816,96,2.74,23.78,69.64,1.07
Harlingen,75,NL,1563652590,82,53.18,5.41,68.0,9.17
Copiapo,20,CL,1563652816,67,-27.37,-70.33,59.0,10.29
Tabuk,100,PH,1563652817,96,17.41,121.44,65.14,1.66
Juneau,90,US,1563652020,87,58.3,-134.42,59.0,3.36
Xushan,0,CN,1563652817,100,30.18,121.25,84.0,7.02
Faya,100,SA,1563652471,15,18.39,42.45,80.6,10.29
Mezen,100,RU,1563652818,88,65.85,44.24,49.48,7.27
South Lake Tahoe,1,US,1563652754,24,38.93,-119.98,91.99,6.35
Eureka,90,US,1563652819,82,40.8,-124.16,68.0,9.17
Hamilton,75,CA,1563652708,66,43.26,-79.87,95.0,17.22
Kaduna,67,NG,1563652819,88,10.52,7.44,71.08,3.85
Bunia,23,CD,1563652820,97,1.56,30.25,64.06,1.61
Gat,20,SN,1563652820,58,14.69,-16.54,82.4,9.17
Kabalo,0,CD,1563652821,35,-6.05,26.92,73.24,1.61
Khandyga,1,RU,1563652821,51,62.65,135.58,50.92,3.91
Puerto Penasco,0,MX,1563652821,78,31.32,-113.53,88.0,11.99
Sijunjung,92,ID,1563652821,97,-0.69,100.95,65.5,1.54
Tiksi,5,RU,1563652821,75,71.64,128.87,44.26,10.18
Setermoen,90,NO,1563652821,59,68.86,18.35,66.2,5.82
Baruun-Urt,0,MN,1563652822,81,46.68,113.28,60.1,2.86
Sitka,0,US,1563652822,27,37.17,-99.65,102.99,15.01
Saldanha,0,PT,1563652471,47,41.42,-6.55,72.88,7.74
Kisangani,90,CD,1563652822,92,0.52,25.21,70.72,1.86
Dublin,75,IE,1563652822,72,53.35,-6.26,63.0,5.82
Miles City,1,US,1563652822,23,46.41,-105.84,79.0,4.7
Dragor,0,BG,1563652823,49,42.23,24.3,75.2,2.24
Khudat,0,AZ,1563652823,64,41.63,48.68,71.26,4.12
Maymyo,75,MM,1563652823,70,22.03,96.47,87.8,11.41
Finschhafen,80,PG,1563652823,95,-6.6,147.85,64.24,2.13
Cidreira,0,BR,1563652471,78,-30.17,-50.22,61.72,7.7
Sayat,0,TM,1563652823,21,38.78,63.88,95.0,9.17
Burns Lake,90,CA,1563652823,49,54.23,-125.76,65.5,3.31
Manado,20,ID,1563652618,94,1.49,124.85,71.6,3.36
Iberia,78,PE,1563652824,42,-11.41,-69.49,88.72,2.33
Llanes,82,ES,1563652824,96,43.42,-4.75,72.0,6.96
Nome,40,US,1563652824,56,30.04,-94.42,95.0,8.05
Port Moresby,20,PG,1563652824,94,-9.47,147.16,68.0,3.36
Nanortalik,100,GL,1563652824,94,60.14,-45.24,42.46,4.94
Poum,40,MK,1563652825,68,41.28,20.71,69.8,2.24
Columbus,40,US,1563652820,58,32.46,-84.99,91.99,7.78
Bethel,90,US,1563652700,93,60.79,-161.76,53.6,11.41
San Pedro Buenavista,69,MX,1563652825,85,20.01,-97.11,73.42,3.87
Beaverlodge,20,CA,1563652825,72,55.21,-119.43,66.2,5.82
Otane,35,NZ,1563652825,75,-39.89,176.62,48.0,4.0
Poshekhonye,41,RU,1563652825,93,58.5,39.12,55.78,3.76
Bend,1,US,1563652826,23,44.06,-121.32,78.01,3.36
Haines Junction,80,CA,1563652826,50,60.75,-137.51,63.52,5.21
Zhigansk,26,RU,1563652826,52,66.77,123.37,60.28,9.48
Progreso,75,UY,1563652826,82,-34.68,-56.22,66.2,12.75
Beloha,0,MG,1563652826,64,-25.17,45.06,64.96,12.24
Klaksvik,100,FO,1563652826,93,62.23,-6.59,53.6,8.05
Ravar,0,IR,1563652827,15,31.27,56.81,72.16,3.65
Mtsamboro,0,YT,1563652827,83,-12.7,45.07,75.2,6.93
College,90,US,1563652827,77,64.86,-147.8,64.4,11.92
Lincoln,20,GB,1563652700,55,53.23,-0.54,66.2,13.87
Marrakesh,0,MA,1563652827,45,31.63,-7.99,84.2,12.75
Soto la Marina,69,MX,1563652827,29,23.77,-98.21,98.08,18.75
Berlevag,0,NO,1563652828,80,70.86,29.09,52.9,4.09
Anloga,40,GH,1563652828,94,5.79,0.9,77.0,9.17
Bourail,46,NC,1563652828,81,-21.57,165.5,60.1,6.62
Hirara,100,JP,1563652828,84,24.8,125.28,83.5,19.06
Deputatskiy,100,RU,1563652828,65,69.3,139.9,50.2,18.07
Sibolga,100,ID,1563652828,78,1.74,98.78,81.88,12.03
Bonavista,0,CA,1563652829,80,48.65,-53.11,54.0,5.01
Opuwo,0,NA,1563652253,21,-18.06,13.84,56.68,5.59
Umm Lajj,0,SA,1563652829,72,25.02,37.27,86.56,6.89
Khor,100,RU,1563652829,89,47.88,134.96,70.0,6.35
Banda Aceh,100,ID,1563652680,82,5.56,95.32,81.88,26.73
Linhares,74,BR,1563652829,83,-19.38,-40.06,66.4,5.17
Kasama,0,ZM,1563652829,55,-10.21,31.19,55.6,3.56
Bubaque,97,GW,1563652474,79,11.28,-15.83,79.18,2.26
Svetlogorsk,90,RU,1563652830,73,53.14,59.15,69.8,20.13
Sambava,100,MG,1563652830,80,-14.27,50.17,70.18,1.9
Rio Pomba,75,BR,1563652830,59,-21.28,-43.18,60.8,11.41
Cumana,20,VE,1563652830,43,10.46,-64.17,91.4,10.09
San Jose,75,HN,1563652830,43,14.25,-87.96,89.6,5.82
Ostrovnoy,0,RU,1563652830,85,68.05,39.51,40.12,0.63
Kaitangata,100,NZ,1563652476,91,-46.28,169.85,50.0,10.0
Gravdal,75,NO,1563652831,87,59.79,5.78,60.8,12.75
Kudat,75,MY,1563652831,83,6.89,116.84,82.4,4.7
Saskylakh,11,RU,1563652247,56,71.97,114.09,61.54,6.26
Codrington,90,AU,1563652823,93,-28.95,153.24,55.99,8.05
Uhlove,0,UA,1563652831,70,44.82,33.6,73.42,3.27
Iisalmi,0,FI,1563652831,77,63.56,27.19,64.4,3.36
Kargopol,100,RU,1563652831,88,61.51,38.95,54.52,4.94
Saint George,20,GR,1563652473,39,39.45,22.34,78.8,4.7
Souillac,0,FR,1563652832,69,45.6,-0.6,73.4,8.05
Dve Mogili,16,BG,1563652832,100,43.59,25.87,68.0,1.34
Wanaka,95,NZ,1563652832,90,-44.7,169.14,43.0,1.01
Boyolangu,94,ID,1563652832,89,-8.09,111.9,70.9,6.44
Luwuk,85,ID,1563652832,98,-0.95,122.79,62.98,5.08
Sun City West,20,US,1563652832,14,33.66,-112.34,108.0,8.05
Fukue,75,JP,1563652833,88,35.03,136.69,78.8,8.05
Khani,90,GE,1563652833,100,41.96,42.96,69.8,3.36
Gilroy,1,US,1563652804,60,37.01,-121.56,81.0,12.75
Mae Hong Son,100,MM,1563652833,97,19.3,97.96,72.34,2.89
Hovd,0,NO,1563652833,43,63.83,10.7,73.4,18.34
Boa Vista,76,BR,1563652632,62,2.82,-60.67,86.38,6.58
Bonham,1,US,1563652833,49,33.58,-96.18,97.0,14.99
Santiago del Estero,0,AR,1563652761,51,-27.8,-64.26,77.02,9.01
San Pedro,100,AR,1563652720,77,-33.68,-59.66,70.0,5.01
Christchurch,97,NZ,1563652131,100,-43.53,172.64,51.01,20.8
Daru,80,PG,1563652834,86,-9.07,143.21,71.62,7.07
Kirensk,93,RU,1563652834,54,57.78,108.12,53.62,9.1
Verkhniy Landekh,26,RU,1563652834,96,56.84,42.6,54.16,5.21
Portland,1,US,1563652766,49,43.66,-70.25,93.99,9.17
Hackettstown,1,US,1563652834,41,40.85,-74.83,99.0,13.87
Hofn,100,IS,1563652472,98,64.25,-15.21,40.3,4.52
Khash,0,IR,1563652835,22,28.22,61.21,71.26,5.37
Ambilobe,99,MG,1563652835,75,-13.19,49.05,74.68,2.21
Chicama,0,PE,1563652835,72,-7.84,-79.15,68.0,10.29
Svetlaya,100,RU,1563652835,97,46.54,138.33,61.54,2.39
Swellendam,100,ZA,1563652835,86,-34.02,20.44,39.2,5.82
Inta,66,RU,1563652253,79,66.04,60.13,61.0,6.91
Ziro,100,IN,1563652835,96,27.54,93.82,59.38,1.9
Richards Bay,100,ZA,1563652836,71,-28.77,32.06,62.26,40.2
Ambanja,96,MG,1563652836,72,-13.68,48.45,78.28,5.44
Namibe,96,AO,1563652836,87,-15.19,12.15,69.46,5.06
Antofagasta,20,CL,1563652827,63,-23.65,-70.4,60.8,11.41
Washington DC.,40,US,1563652757,44,38.9,-77.04,99.0,10.29
Udachnyy,0,RU,1563652836,50,66.42,112.4,53.6,2.37
Halifax,75,CA,1563652598,52,44.65,-63.58,91.99,9.17
Olavarria,99,AR,1563652837,90,-36.89,-60.32,57.99,1.99
Aklavik,40,CA,1563652837,77,68.22,-135.01,62.6,5.82
Santa Ana,41,MX,1563652766,34,30.54,-111.12,100.0,1.01
Ambalavao,0,MG,1563652837,50,-21.83,46.94,55.42,1.86
Russell,1,US,1563652637,27,38.9,-98.86,107.01,19.46
